96.77848; 
92.06546; 
93.35857; 
94.99196; 
95.859695; 
93.83497; 
96.86355; 
97.56114; 
96.81251; 
94.957924; 
94.78778; 
96.642365; 
93.817955; 
94.73674; 
96.42117; 
93.27349; 
96.88056; 
93.613785; 
96.693405; 
95.025986; 
94.90688; 
97.20384; 
94.43047; 
95.09405; 
96.71042; 
96.18297; 
94.61764; 
96.9146; 
93.10334; 
97.71427; 
96.47222; 
96.063866; 
94.77077; 
150.52728; 
92.5759; 
95.230156; 
96.5743; 
94.65167; 
94.53256; 
96.5743; 
95.87671; 
94.70271; 
97.08474; 
94.24332; 
95.502396; 
94.99196; 
94.26033; 
96.165955; 
94.07317; 
95.46836; 
92.96723; 
97.067726; 
95.21314; 
94.41346; 
93.47766; 
96.08088; 
93.52871; 
97.373985; 
95.128075; 
95.65552; 
95.043; 
95.31523; 
95.57045; 
96.72744; 
96.86355; 
94.88987; 
94.15824; 
96.3361; 
94.872856; 
95.1621; 
94.00511; 
98.78619; 
95.80865; 
96.43819; 
95.043; 
97.86741; 
96.9146; 
95.72358; 
97.59518; 
94.88987; 
99.82407; 
94.498535; 
97.067726; 
96.98265; 
97.49309; 
95.46836; 
99.92616; 
99.364685; 
96.89758; 
96.02984; 
96.65938; 
93.511696; 
93.817955; 
94.37943; 
98.95634; 
98.939316; 
99.87512; 
97.57816; 
93.23946; 
95.87671; 
94.65167; 
98.411865; 
96.40416; 
96.13193; 
94.53256; 
96.67639; 
95.11105; 
94.88987; 
96.18297; 
97.44205; 
96.063866; 
94.70271; 
95.128075; 
94.09019; 
99.21155; 
98.15665; 
96.540276; 
95.14509; 
94.73674; 
93.42662; 
93.086334; 
95.94477; 
96.18297; 
94.37943; 
95.29822; 
95.11105; 
96.387146; 
95.31523; 
91.8783; 
97.33996; 
98.258736; 
95.82567; 
99.87512; 
96.82953; 
97.61219; 
95.043; 
94.90688; 
94.07317; 
96.5743; 
95.55344; 
97.54413; 
94.855835; 
97.61219; 
91.74219; 
97.78233; 
96.60833; 
93.95407; 
94.70271; 
96.37013; 
96.94862; 
93.54572; 
96.94862; 
96.9146; 
95.26419; 
94.39645; 
97.23787; 
94.37943; 
95.46836; 
93.90302; 
85.548904; 
94.73674; 
94.27734; 
93.817955; 
95.961784; 
98.4459; 
97.54413; 
93.06932; 
94.36242; 
94.5666; 
95.09405; 
95.99581; 
94.88987; 
95.45135; 
95.94477; 
95.46836; 
95.706566; 
96.52326; 
95.84268; 
98.07158; 
97.476074; 
94.43047; 
95.06001; 
94.61764; 
98.27576; 
94.192276; 
96.489235; 
96.540276; 
93.37558; 
94.17526; 
97.52712; 
97.59518; 
99.5008; 
98.76917; 
96.81251; 
98.46291; 
97.391; 
95.79164; 
94.68569; 
95.46836; 
96.540276; 
95.60448; 
94.5666; 
96.94862; 
94.5836; 
95.21314; 
93.0523; 
96.540276; 
94.872856; 
97.20384; 
97.731285; 
97.23787; 
99.14349; 
95.62149; 
97.44205; 
95.45135; 
95.383286; 
94.192276; 
96.86355; 
95.79164; 
95.179115; 
97.79935; 
92.96723; 
93.920044; 
93.869; 
95.31523; 
95.14509; 
93.56274; 
95.638504; 
94.77077; 
95.536415; 
93.35857; 
94.821815; 
95.74059; 
96.77848; 
95.11105; 
96.37013; 
96.9146; 
98.888275; 
95.74059; 
94.1072; 
95.485374; 
94.957924; 
93.817955; 
93.59677; 
95.11105; 
97.42503; 
93.46065; 
96.165955; 
95.31523; 
93.32454; 
95.128075; 
95.51941; 
96.0979; 
94.07317; 
94.88987; 
96.67639; 
97.64622; 
94.804794; 
97.52712; 
92.91619; 
95.2812; 
96.43819; 
94.2263; 
95.45135; 
95.79164; 
97.2719; 
96.19999; 
96.88056; 
93.20543; 
95.536415; 
95.58746; 
95.60448; 
98.78619; 
97.57816; 
97.5101; 
93.69885; 
95.00897; 
96.540276; 
157.43518; 
95.55344; 
94.27734; 
97.169815; 
96.42117; 
94.345406; 
96.13193; 
92.78007; 
94.872856; 
94.07317; 
96.387146; 
97.71427; 
95.58746; 
96.387146; 
93.7499; 
97.6292; 
94.27734; 
95.961784; 
95.65552; 
95.706566; 
95.1621; 
100.13034; 
97.49309; 
95.58746; 
96.86355; 
94.2263; 
94.70271; 
95.87671; 
95.2812; 
97.067726; 
95.383286; 
98.15665; 
99.194534; 
99.670944; 
98.258736; 
95.961784; 
96.319084; 
97.57816; 
100.249435; 
95.46836; 
95.19613; 
97.35697; 
97.067726; 
97.18683; 
95.29822; 
96.165955; 
93.80094; 
95.502396; 
94.66868; 
154.93404; 
96.23401; 
96.3361; 
98.309784; 
94.27734; 
99.79005; 
97.5101; 
107.20836; 
93.137375; 
97.33996; 
98.61604; 
98.479935; 
99.44975; 
109.335175; 
94.27734; 
92.84813; 
96.04686; 
95.025986; 
95.536415; 
92.86514; 
96.18297; 
92.03143; 
93.56274; 
94.51555; 
95.043; 
93.25648; 
97.59518; 
96.65938; 
94.68569; 
95.89372; 
93.17141; 
98.46291; 
94.73674; 
96.04686; 
94.345406; 
94.24332; 
94.14123; 
96.387146; 
219.8954; 
90.636246; 
98.837234; 
95.1621; 
92.5759; 
95.99581; 
92.18456; 
96.71042; 
98.17367; 
98.80321; 
95.09405; 
94.12422; 
93.664825; 
95.29822; 
96.012825; 
96.98265; 
95.383286; 
95.77463; 
94.48152; 
96.99967; 
94.41346; 
93.17141; 
92.96723; 
95.349266; 
93.715866; 
97.03369; 
95.51941; 
98.49694; 
94.54958; 
97.20384; 
94.53256; 
95.36627; 
96.82953; 
93.035286; 
95.26419; 
97.20384; 
96.74445; 
95.31523; 
95.9788; 
98.990364; 
95.77463; 
96.25103; 
94.27734; 
97.03369; 
96.13193; 
97.79935; 
95.502396; 
98.12263; 
97.08474; 
96.08088; 
94.73674; 
95.60448; 
92.64396; 
95.82567; 
94.192276; 
119.697014; 
93.290504; 
96.35312; 
94.09019; 
96.89758; 
96.37013; 
98.479935; 
98.530975; 
97.1528; 
96.86355; 
97.79935; 
98.76917; 
95.84268; 
94.1072; 
97.78233; 
96.89758; 
96.30208; 
96.28506; 
93.78393; 
94.09019; 
95.06001; 
98.82022; 
94.68569; 
96.59132; 
94.03915; 
95.14509; 
97.220856; 
96.9316; 
95.82567; 
94.63465; 
96.71042; 
96.28506; 
95.31523; 
93.88601; 
95.41732; 
95.40031; 
97.373985; 
95.46836; 
95.961784; 
96.489235; 
94.14123; 
94.77077; 
98.22472; 
97.66323; 
96.50624; 
94.39645; 
95.57045; 
95.00897; 
94.88987; 
151.08876; 
97.833374; 
99.34767; 
91.23175; 
93.95407; 
96.13193; 
96.063866; 
95.06001; 
96.387146; 
97.03369; 
94.17526; 
