50;50.5530116558;50.1230149269;50.6341431141;50.6341431141;50.5651813745;50.4678236246;49.9364125729;50.7031048536;50.6016905308;50.6341431141;50.6828219891;50.2812212706;50.5692379475;50.4678236246;50.7031048536;50.6503694057;50.638199687;50.7720665932;50.1108452082;50.309617281;50.1392412186;50.5124459267;50.6179168224;50.4637670517;50.5489550829;50.5327287912;50.5327287912;50.6341431141;50.6016905308;50.5489550829;50.5692379475;50.7355574369;50.686878562;50.6503694057;50.3988618851;50.3623527288;50.1270714998;49.9566954374;50.1067886353;50.1595240831;
100;99.6050913334;99.2602826357;98.7329281569;98.5666086674;99.8565988541;98.5300995111;98.6355704069;99.1264157295;98.5666086674;99.7916936874;99.7227319479;98.4611377716;99.3982061148;98.5625520945;98.6152875423;99.7389582396;98.1893473864;98.7167018652;98.4976469278;99.5848084688;98.2420828342;99.0939631462;99.4671678543;99.5361295938;98.5625520945;99.9580131769;98.2258565426;98.2745354176;97.8851044178;98.156894803;99.0736802816;99.4996204376;98.2420828342;99.3657535315;98.5787783861;98.1244422197;98.631513834;98.6477401257;99.8079199791;98.9722659588;
150;146.531526804;148.162269115;147.841799855;146.4422822;147.342841387;148.093307376;146.357094169;148.109533668;148.519247532;146.580205679;146.884448647;146.089360356;147.326615095;147.906705022;147.087277293;147.517274022;147.432085991;146.085303783;148.024345636;147.107560158;148.519247532;147.363124251;146.989919543;146.937184095;146.868222356;146.426055908;148.247457147;146.868222356;148.608492136;146.645110846;148.267740011;147.874252439;148.332645178;146.101530075;146.474734783;147.042654991;146.446338773;147.874252439;146.596431971;146.547753096;
200;193.080700994;194.05022192;190.902321339;191.839389682;192.281556129;190.971283078;191.786654234;191.498637557;191.445902109;193.539093733;191.036188245;193.502584577;191.243073463;191.380996943;191.82316339;190.817133307;192.196368098;192.845419765;192.792684317;192.703439713;192.723722577;191.397223234;192.75617516;191.514863849;191.973256588;192.058444619;191.429675817;192.687213421;194.033995628;192.484384775;191.98948288;191.397223234;192.382970452;191.393166661;191.855615973;190.610248089;191.737975359;192.265329838;191.364770651;190.869868755;
